カード番号,位置,日本語キーワード,読み,英語キーワード,グループ,象意,色,方位,時,カードからのメッセージ,キセキのレシピ,アファメーション
69,⑥－8,共鳴,きょうめい,Resonance,,,,,,アダムとイブは林檎を食べる前は、身体は別でしたが意識はひとつでした。 | あなたは喜怒哀楽の感情を欲して、自ら進んで林檎を食べました。 | 林檎を食べたとたんにエゴの意識が生まれ、イブは胸を隠して木陰に隠れました。全てのエゴのドラマはこの林檎を食べたことに始まりました。 | 林檎を食べない限り経験をしても感情を味わうことはできないことを知っていたからです。,あなたが林檎を自分で食べたことを思い出せば、林檎の解毒は完了します。 | あなたが感情を味わうために役柄を引き受けてくれた人に感謝しましょう。 | あなたは今世はあなたという肉体とこころを選んで生まれてきました。 | あなたが肉体を持ったまま目覚めるのは先祖全員の願いでもあります。,私は私が経験を通して感情を味わうために、林檎を食べてその林檎の毒によりエゴのゲームの夢を見ていました。 | 私は私が自分で林檎を食べたことを思い出して、林檎の毒を解毒します。 | 私は喜怒哀楽のドラマを楽しむ人生のステージから、全てを祝福してひとつへ戻るステージへとシフトします。
70,⑦－8,林檎,りんご,Apple,,,,,,全ての存在は互いに共鳴し、相手に影響を与えています。 | 心地よい波紋の共鳴が広がることは、世界を豊かに幸せにします。 | あなたがこの時代を選び、あなたが夢から覚める役を引き受けました。 | あなたが広げる波紋と共鳴する人たちとつながれば、あなたの波紋はより広がっていきます。,あなたがこの役を演じるために先祖全員の命がありました。 | あなたがエゴのゲームの夢から覚め、目覚めの波動を共鳴させていきます。 | あなたが戻る場所はひとつ。至福であり無限の愛である原点です。 | あなたが自分自身をありのまま無条件の真実の愛で包めば、その波紋が周囲に共鳴します。,私は私のエネルギーの状態が宇宙全体に波紋を広げて共鳴し、影響を与えることを知っています。 | 私から発せられるありのまま無条件の真実の愛の波動は、周囲に共鳴して幸せと豊かさをもたらします。 | 私は私の思いを波紋のように広げ共鳴させていきます。
71,⑨－8,天の計らい,てんのはからい,Divine Will,,,,,,人生を変えるような出来事や出会いは天の計らいが起こしています。 | あなたが人智を超えたものに畏敬の念を持ち、あなたの意図が叶うのをわくわくしながら『ゆるゆる』待っていましょう。 | そうすればあなたは天の計らいを受け取り、あなたが思いもかけないような形で意図が現実化します。,あなたが命を授かったことは奇跡中の奇跡でしかありません。 | あなたは命をあなたの魂の欲求を満たすために使えます。 | あなたは命に感謝をすることにより、天の計らいを受け取ります。 | あなたの命は天の計らい、奇跡の原動力です。,私は私がこの世に生を享（う）けたことが天の計らいだと知りました。 | 私は私と同じようにこの世に生を享けた全ての存在が天の計らいによるものだと知っています。 | 私は全ての命に畏敬の念を払い感謝することにより、天の計らいを受け取っていきます。
72,⑧－8,消えゆく姿,きえゆくすがた,Evanescent,,,,,,誰かが上げた意図は現実化すると消えていきます。現実化したことすべては『消えゆく姿』です。悪い出来事も現実化すれば消えていきます。 | 原点の一点に始まった宇宙はやがて原点の一点に終わります。 | 原点には、愛、光、感謝しかありませんでした。 | いずれ原点に戻る旅です。物語はハッピーエンドで終わります。,あなたは64～71のカードを実行したときに『消えゆく姿』を感じています。 | あなたは未来から見ることにより、全てが『消えゆく姿』だと知ります。 | あなたは現実の『消えゆく姿』を見て、全てよくなる未来を見ています。 | あなたの肉体も『消えゆく姿』のひとつ。イマココを生きましょう。,私は目に見える全てのものが消えゆく姿を現していることを知っています。 | 私は一期一会を大切に生きます。 | 私はイマココをありのままに受け取ります。 | 私は『消えゆく姿』と『全てよくなる未来』を見つめます。
73,①－9,至福,しふく,Bliss,9グループ,陽極,白,南,午（12時）,生命の本質は至福です。エントロピーの増大により宇宙はバラバラになって散らばっていく一方です。 | 生命だけがエントロピーの増大に逆行して、まとめ上げてみずみずしい姿を維持しています。 | 至福を感じている人が街にあふれたら、その街は至福の街になります。至福のわが家、至福の街と広げて至福の世界を実現しましょう。,あなたは命の本質の至福をあなたらしく表現しましょう。 | あなたは、あなた自身の至福を持っています。 | あなたが命のある限り至福を感じていることが、宇宙の喜びです。 | あなたの魂に聴くと答えが返ってきます。その答えを心臓で受け取り、行動していってください。,私は、愛、喜び、力、原点、今茲、内なる平和、光を私らしく表現し、私の本質である『至福』を生きています。 | 私が私の至福を表現すると、私の周囲もその人らしい至福を表現していきます。 | 至福の輪が広がると、世界はより豊かに平和になっていきます。
74,②－9,ゆるゆる,ゆるゆる,Relax,,,,,,ビックバン一秒前の原点。時間も空間もないその一点を意識してください。そこに『空（くう）』があります。 | 全てがあって全てがない状態。何者にもとらわれない至福の状態。 | 空は、愛とも光とも言い換えることができます。この宇宙に満ち溢れているすべてのエネルギーです。 | 現代では生まれながらにして『空』の感覚を持っている人が増えています。,あなたはもともと何にもとらわれない至福の『空』の状態でした。 | あなたは思い出すだけで『空』の状態に戻ることができます。 | あなたが『空』の状態でいれば、周囲には自然と至福が広がります。 | あなたはグラウンディング、センタリングをして『空』に繋がります。,私は、循環、心地よさ、できるよ、はぐくむ、わくわく、奇跡、丁寧な雰囲気を持ち、私らしく『空』を体現します。 | 私はもともと『空』の状態でした。 | 私はそれを思い出すことにより、『空』の状態にもどります。 | 私が『空』の雰囲気を広げて、周囲の命をより輝かせます。
75,③－9,空,くう,Empty,,,,,,あなたが『ゆるゆる』して不安と恐怖から離れると、あなたの上げた意図は最も適切なタイミングで現実化します。 | あなたはあなたらしく『ゆるゆる』して、オリジナルの愛を周囲に広げていきます。 | 愛を敢えて言葉にすれば『ゆるゆる』です。相手をゆるませる、エネルギー、眼差し、言葉は、相手の命を輝かせます。,あなたが『ゆるゆる』していることはあなたの本質の姿です。 | あなたは、ただ存在して『ゆるゆる』していましょう。 | あなたが『ゆるゆる』していることは宇宙全体の願いでもあります。 | あなたの『ゆるゆる』を広げて世界を平和に豊かにしていきましょう。,私は、経験、好み、感情、価値観、受容、電球交換、委ねることを自分を大切にする視点から見て『ゆるゆる』するために生きています。 | 私は私を大切にすると選択しているので『ゆるゆる』を選択します。 | 私は『ゆるゆる』して、周囲にも『ゆるゆる』を広げていきます。 | 私の『ゆるゆる』は、全ての存在を大切にする燃料となります。
76,④－9,行動,こうどう,Action,,,,,,意図をあげて『ゆるゆる』して、ヒラメキから３秒以内に行動できれば、意図は現実化していきます。 | 適切なタイミングで適切な行動をすることが現実化のポイントです。 | 何となくひらめいたり、感じたことを即行動に移しましょう。 | すぐに行動できるように周囲の環境を整えて『ゆるゆる』しましょう。,あなたは環境を整えさえすれば、何事もすっと行動に移すことができます。 | あなたは自分のエネルギーを整えていくと、もっと行動しやすくなります。 | あなたの行動の質があがれば、結果は望み通りのものとなっていきます。 | あなたが観察して行動をするとき、あなたは望むものを得ているでしょう。,私は、エネルギー、責任、関数、意識、欲求、執着、神秘を観察し、私らしく『行動』していきます。 | 私は意図を現実化するためにヒラメキを３秒以内に行動に移します。 | 私はヒラメキを行動に変えて、意図を現実化していきます。 | 私は『ゆるゆる』していることにより、行動のチャンスを逃しません。
77,⑤－9,わんねす,わんねす,Oneness,,,,,,ビックバンは原点の一点から始まりました。 | 宇宙は全て同じ部品でできていて、ひとつです。 | 宇宙自体が身体のように全てが連携して調和がとれています。 | 全ての存在が愛を求めるか、愛を表現しています。ワンネスの意識を持ってあなたらしくそれに応えていきましょう。,あなたは宇宙があなたを通して体験したいことを体験しています。 | あなたがあなたらしく生きることがワンネスを生きるということです。 | あなたがワンネスの意識を持って世界を見るとき、あなたはそこに愛を見ることでしょう。 | あなたが愛を思い出すにつれて、あなたの命はより輝いていきます。,私は、湧出、あたえる、因果、波動、選択、観察者、森羅万象の心臓からのサインを受け取り、私らしく『ワンネス』を体現していきます。 | 私は全てがひとつであるワンネスの旅を私らしく楽しみます。 | 私は自分が自分らしくあることで、全ての存在が全ての存在らしくあることをサポートします。
78,⑥－9,よきかな,よきかな,Well Done,,,,,,あなたは、命、安定、努力、効率、二極、期待、林檎から離れて涅槃（ねはん）にたどりつきます。 | エゴのドラマの物語の燃料が、いろいろなものから離れることで明確に見えます。 | 涅槃は悩みや不安のない、幸せで和やかな境地です。 | 地球の波動が変化した現代では、肉体を持ったまま涅槃の境地にいる人たちが増えています。,あなたが『よきかな～』と温泉気分で涅槃の境地にいましょう。 | あなたが涅槃を体現することで、人生の目的は明確になります。 | あなたが涅槃の境地を他の人に広げ、目覚めさせていく時代です。 | あなたはこのために、あなたを選んで生まれてきました。,私は命、安定、努力、効率、二極、期待、林檎から離れて不安や恐怖を見つめて、『涅槃』の境地にいます。 | 私は『よきかな～』と全てを祝福して涅槃の境地にいます。 | 私は日々私らしく涅槃を体現していき、周囲に涅槃を広げていきます。 | 私はこのために、私を選んで生まれてきました。
79,⑦－9,涅槃,ねはん,Nirvana,,,,,,あなたが宇宙に広げる究極の波紋が『よきかな～』です。あなたは『よきかな～』の魔法で全ての存在を祝福します。 | 相手がエゴの思考にハマっていても、あなたの『よきかな～』の祝福により相手は『ゆるゆる』できます。 | あなたはあらゆるものを祝福することで、あらゆるものから祝福される存在となります。,あなたの『よきかな～』は相手の魂の選択のきっかけになっていきます。 | あなたの『よきかな～~』の波紋の周りには、気づきと癒しがあります。 | あなたの『よきかな～』の祝福が、その人の魂に光を入れます。 | あなたが『よきかな～』と言葉にするだけで、あなたの周りに奇跡が起きます。,私は、純粋、ほっこり、ユーモア、蝋燭の炎、真実、信頼、共鳴を波紋として広げて、『よきかな～』と全ての存在を祝福していきます。 | 私は全てが元々ひとつであったこと、今は分離をして様々な経験と感情を味わっていること、最後はひとつに戻ることを知っています。 | 私は世界で起きているすべてのことを『よきかな～』と祝福します。
80,⑨－9,しっくり,しっくり,Fit Nicely,,,,,,あなたが何をするにもしっくりする選択を選びましょう。あなたのために、あなたの周囲のために、そして宇宙のために。 | あなたは魂の声を聴く生き方へシフトすると、様々なものがしっくりとフィットする感覚を感じるでしょう。 | あなたがしっくりくるご縁を選ぶことは、全ての人に幸せをもたらします。,あなたの魂の望む選択をしたとき、しっくりした感覚を味わいます。 | あなたのしっくりする選択は全ての人の幸福、大調和につながっています。 | あなたがしっくりくる形で愛を表現すれば、豊かさが広がっていきます。 | あなたが違和感に敏感になり『しっくり』を選択するのは魂の喜びです。,私は、体感覚、幸福、八紘一宇、自然法爾、調和、多様性、天の計らいを魂のメッセージとして受け取り、私の『しっくり』を私らしく表現して生きていきます。 | 私の魂は宇宙に直結しているので、全体最適の答えを知っています。 | 私は魂の声を聴いて、自分がしっくりする奇跡を生きていきます。
81,⑧－9,意図,いと,Intention,,,,,,人間が持つ最大の力は、意図する力です。 | あなたが、人類がエゴのゲームの夢から覚めることを意図すれば、それは現実化します。 | あなたがエゴのゲームの夢から覚め、あなたの魂の喜びに沿った意図を上げれば世界に調和が広がります。,あなたは73～80のカードを実行したときに意図を活用できます。 | あなたは意図することにより、望みを現実化できます。 | あなたはあなたが本当に得たい未来を意図しましょう。 | あなたの魂の意図は、あなたの喜びであり、宇宙の喜びでもあります。,私は、躍動、畏敬、らしさ、感謝、真理、無礙、消えゆく姿を感じながら映像化して私自身の意図を上げ続けます。 | 私は私の意図を映像化して、実現してきたことを知っています。 | 私は魂の喜びに沿った意図をあげます。そして『ゆるゆる』し行動することによって、現実化をしていきます。
